dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
sports,MDR,2024,normal,,0.0757,0.1136,0.1832,0.0416,0.0513,0.0654,0.0084,0.0302,SMORE_sports_MDR_seed2024_normal.log,ok
sports,MDR_drop_image,42,normal,,0.0762,0.1145,0.1849,0.0419,0.0517,0.066,0.0084,0.0304,SMORE_sports_MDR_seed42_drop_image.log,ok
sports,MDR_drop_text,42,normal,,0.0759,0.1145,0.1853,0.0418,0.0517,0.0661,0.0083,0.0304,SMORE_sports_MDR_seed42_drop_text.log,ok
sports,MDR_noise_both,42,normal,,0.0754,0.1129,0.1834,0.0412,0.0508,0.0652,0.0083,0.0299,SMORE_sports_MDR_seed42_noise_both.log,ok
sports,MDR_noise_image,42,normal,,0.0751,0.1135,0.183,0.0412,0.0511,0.0652,0.0083,0.0299,SMORE_sports_MDR_seed42_noise_image.log,ok
sports,MDR_noise_text,42,normal,,0.0751,0.1136,0.1824,0.0412,0.0511,0.0651,0.0083,0.0299,SMORE_sports_MDR_seed42_noise_text.log,ok
sports,MDR,42,normal,,0.075,0.1135,0.1825,0.0412,0.0511,0.0651,0.0083,0.0299,SMORE_sports_MDR_seed42_normal.log,ok
sports,MDR_drop_image,999,normal,,0.0751,0.1142,0.1833,0.0411,0.0512,0.0652,0.0083,0.0298,SMORE_sports_MDR_seed999_drop_image.log,ok
sports,MDR_drop_text,999,normal,,0.0755,0.1147,0.1846,0.0413,0.0514,0.0655,0.0084,0.0299,SMORE_sports_MDR_seed999_drop_text.log,ok
sports,MDR_noise_both,999,normal,,0.0753,0.1129,0.1824,0.0409,0.0506,0.0647,0.0083,0.0295,SMORE_sports_MDR_seed999_noise_both.log,ok
sports,MDR_noise_image,999,normal,,0.0753,0.1129,0.1825,0.0409,0.0506,0.0647,0.0083,0.0295,SMORE_sports_MDR_seed999_noise_image.log,ok
sports,MDR_noise_text,999,normal,,0.075,0.113,0.1827,0.0409,0.0506,0.0648,0.0083,0.0295,SMORE_sports_MDR_seed999_noise_text.log,ok
sports,MDR,999,normal,,0.0748,0.1128,0.1804,0.0408,0.0506,0.0644,0.0082,0.0295,SMORE_sports_MDR_seed999_normal.log,ok
sports,baseline_drop_image,2024,normal,,0.0763,0.1146,0.1832,0.0417,0.0516,0.0656,0.0084,0.0303,SMORE_sports_baseline_seed2024_drop_image.log,ok
sports,baseline_drop_text,2024,normal,,0.0761,0.1148,0.1842,0.0415,0.0515,0.0656,0.0084,0.0301,SMORE_sports_baseline_seed2024_drop_text.log,ok
sports,baseline_noise_both,2024,normal,,0.0747,0.1133,0.1823,0.041,0.051,0.065,0.0082,0.0298,SMORE_sports_baseline_seed2024_noise_both.log,ok
sports,baseline_noise_image,2024,normal,,0.0749,0.1132,0.1822,0.0411,0.051,0.065,0.0083,0.0299,SMORE_sports_baseline_seed2024_noise_image.log,ok
sports,baseline_noise_text,2024,normal,,0.0749,0.1133,0.1822,0.0411,0.051,0.065,0.0083,0.0299,SMORE_sports_baseline_seed2024_noise_text.log,ok
sports,baseline,2024,normal,,0.0749,0.1132,0.1823,0.0411,0.051,0.065,0.0083,0.0298,SMORE_sports_baseline_seed2024_normal.log,ok
sports,baseline_drop_image,42,normal,,0.0758,0.1131,0.1842,0.0414,0.051,0.0655,0.0083,0.03,SMORE_sports_baseline_seed42_drop_image.log,ok
sports,baseline_drop_text,42,normal,,0.0759,0.1134,0.1838,0.0416,0.0512,0.0655,0.0084,0.0302,SMORE_sports_baseline_seed42_drop_text.log,ok
sports,baseline_noise_both,42,normal,,0.0741,0.1124,0.1816,0.041,0.0508,0.0649,0.0082,0.0299,SMORE_sports_baseline_seed42_noise_both.log,ok
sports,baseline_noise_image,42,normal,,0.0741,0.1127,0.1815,0.041,0.051,0.0649,0.0082,0.03,SMORE_sports_baseline_seed42_noise_image.log,ok
